,hash,ver,bits,fee,nonce,size,block_index,main_chain,height,weight
147,000000000000000000023df9ad7b34dd72fa0aabbd4f2980dd41e9fd7974586f,536969216,386216622,22354213,304626237,1489702,806835,True,806835,3993142
148,00000000000000000003ce9de7e7832ae6184567606b0d8979368b6384478f53,536870912,386216622,21218297,2684616858,1577175,806834,True,806834,3992958
149,000000000000000000016b254c5f8f791392b52977be0b4a1bf8f979899a7f42,850395136,386216622,18365924,3039881950,1682907,806833,True,806833,3993330
150,00000000000000000002d66ac11bedb430568f460fb42575e9abdf63a028f0a1,876552192,386216622,30254926,1605060130,1427777,806832,True,806832,3992939
151,00000000000000000003ad8e5b648f77569b573a54826402b04f8b5cee5f5868,623951872,386216622,20734500,177498294,1199020,807126,True,807126,3992875
152,00000000000000000002a21166989ec492b1598378321a8794047ddb23514851,536903680,386216622,23918701,360842653,1369235,807125,True,807125,3992999
153,00000000000000000003600438a2ba8c522d2121b2990a25c23bdfbd7447797e,584368128,386216622,19133575,654607810,1139175,807124,True,807124,3992991
154,0000000000000000000304fb033ca0cec6f1392a231170c69c7ffc0c62f42d87,536928256,386216622,18597482,3707596532,1095627,807123,True,807123,3998019
155,0000000000000000000199e3240c9acf7abe0b22023f706090d93642406e49d1,1073733632,386216622,18480862,1426859605,1073155,807122,True,807122,3998044
156,00000000000000000003359295cece498ecc197ed40234b4bc49e88318a2000b,789413888,386216622,20668743,3916894508,1420425,807121,True,807121,3993240
157,00000000000000000004d1f1dc6801ff109ce39da077df23828b4802f92b307b,799072256,386216622,18433494,672266016,1701265,807120,True,807120,3993289
158,0000000000000000000268677a8d1556723158c03c22e684a9d37941e8b4f7bc,545259520,386216622,15662730,997337482,2086801,807119,True,807119,3993463
159,00000000000000000002dbf9d0bc1c743ac17bdb60d5c6abc8cd94f2d253621d,541065216,386216622,14204814,4002858602,2176564,807118,True,807118,3992992
160,000000000000000000012c24b3d855b1aaed9d7f531d866aa332d8c87a9d8dae,819134464,386216622,14884740,3908770260,1879630,807117,True,807117,3993490
161,00000000000000000000b8e97b8326e4f8a66626fc6a6bc7d2eedee8903b9d7c,536920064,386216622,15195855,2446119907,1745233,807116,True,807116,3993334
162,000000000000000000044cbb4379df6b8acd89e1fd562f5c17302d5daaedd87c,883048448,386216622,17691292,3740705373,1625941,807115,True,807115,3997657
163,0000000000000000000450cdcb5bee6d8cc47c43d5bd7c62a1e4844f4b80f329,536870912,386216622,15989054,45660429,1592588,807114,True,807114,3997517
164,00000000000000000004f3555df6446b476af46f12a4c738d7b05f5009051050,701644800,386216622,19071505,3139359694,1677951,807113,True,807113,3993588
165,000000000000000000017a69369f6946b54e41388e1d8f6647e2f4d1dd00f8f4,849747968,386216622,17109910,2550597737,1788628,807112,True,807112,3992944
166,000000000000000000049dc195e9f8782527b7b1572a84b055e2b1c940533d1b,536928256,386216622,16809295,37891591,1594885,807111,True,807111,3997522
167,00000000000000000001d5221dbac14b8fa34ab1466fae149539288b5eb5362c,570425344,386216622,15999429,1016818522,1947516,807110,True,807110,3993054
168,00000000000000000002b5352ab140b91747f8412f8ab14aecfcaaeedeab9659,538968064,386216622,16982405,1093826952,1967455,807109,True,807109,3993490
169,00000000000000000004aeb6bb08965d91671ab5627830b7114727df8aba4452,711286784,386216622,15537340,3191508538,1873047,807108,True,807108,3997746
170,0000000000000000000464e60a028c796ca952f91bf6df4be3c2119392aaf2ab,1073733632,386216622,15267660,1125693598,2035767,807107,True,807107,3997713
171,00000000000000000001f568975252ff405fc9dd1a2bd8850e25d9ca26f6b452,684220416,386216622,16255079,2326972933,1838213,807106,True,807106,3993137
172,00000000000000000002d00b3a67c01c79535037afa1912d9b5693cba1eafcbf,743727104,386216622,14850115,1953265667,1656019,807105,True,807105,3993298
173,00000000000000000000455ff5b07d3b78cf20f194e4d47501fb0ba58fbb0357,549453824,386216622,16320026,1323603481,1866358,807104,True,807104,3993088
174,00000000000000000002cc5947ad04e9f2907887d794dd124ba30ef2558d2769,1073676288,386216622,16063208,1928570531,1817309,807103,True,807103,3992807
175,000000000000000000007fd4406fe1345e94439107df0f0498b2799e37a278e8,851255296,386216622,18581173,1921790590,1697664,807102,True,807102,3993075
176,00000000000000000001b776e3956f3e3369edf08d1cb58548ff65a7fc79edea,809926656,386216622,22173026,3591634814,1270338,807101,True,807101,3992706
177,00000000000000000000ec645e8551a106ef8ea6ea8fcf4248491cb0f90e91fa,771612672,386216622,18587017,2170816874,1551916,807100,True,807100,3992545
178,00000000000000000004d13748dc938a78bc0f215aba38830990b1599b0c26d6,670908416,386216622,23830676,2867950025,1574199,807099,True,807099,3993651
179,00000000000000000002fff84bd2e91cabb219edfa27ba551dacb5ab68f365ad,536879104,386216622,22908891,3783070789,1481343,807098,True,807098,3993483
180,000000000000000000053090e81c6bd046405e0dcb7986eabfa80ae669628d4f,770416640,386216622,20309864,1112766813,1506173,807097,True,807097,3993029
